HEADER;HEADER;2;3;4;5;6;7;8;9;10;1
HARD;5;H;H;H;H;H;H;H;H;H;H
HARD;6;H;H;H;H;H;H;H;H;H;H
HARD;7;H;H;H;H;H;H;H;H;H;H
HARD;8;H;H;H;H;H;H;H;H;H;H
HARD;9;H;D;D;D;D;H;H;H;H;H
HARD;10;D;D;D;D;D;D;D;D;H;H
HARD;11;H;D;D;D;D;D;D;D;D;H
HARD;12;H;H;S;S;S;H;H;H;H;H
HARD;13;S;S;S;S;S;H;H;H;H;H
HARD;14;S;S;S;S;S;H;H;H;H;H
HARD;15;S;S;S;S;S;H;H;H;H;H
HARD;16;S;S;S;S;S;H;H;H;H;H
HARD;17;S;S;S;S;S;S;S;S;S;S
HARD;18;S;S;S;S;S;S;S;S;S;S
HARD;19;S;S;S;S;S;S;S;S;S;S
HARD;20;S;S;S;S;S;S;S;S;S;S
SOFT;2;H;H;H;D;D;H;H;H;H;H
SOFT;3;H;H;H;D;D;H;H;H;H;H
SOFT;4;H;H;D;D;D;H;H;H;H;H
SOFT;5;H;H;D;D;D;H;H;H;H;H
SOFT;6;H;D;D;D;D;H;H;H;H;H
SOFT;7;S;D;D;D;D;S;S;H;H;H
SOFT;8;S;S;S;S;S;S;S;S;S;S
SOFT;9;H;H;H;H;H;H;H;H;H;H
SOFT;10;H;H;H;H;H;H;H;H;H;H
SOFT;11;H;H;H;H;H;H;H;H;H;H
SOFT;12;H;H;H;H;H;H;H;H;H;H
SOFT;13;H;H;H;D;D;H;H;H;H;H
SOFT;14;H;H;H;D;D;H;H;H;H;H
SOFT;15;H;H;D;D;D;H;H;H;H;H
SOFT;16;H;H;D;D;D;H;H;H;H;H
SOFT;17;H;D;D;D;D;H;H;H;H;H
SOFT;18;S;D;D;D;D;S;S;H;H;H
SOFT;19;S;S;S;S;S;S;S;S;S;S
SOFT;20;S;S;S;S;S;S;S;S;S;S
SPLIT;1;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
SPLIT;2;SP;SP;SP;SP;SP;SP;H;H;H;H
SPLIT;3;SP;SP;SP;SP;SP;SP;H;H;H;H
SPLIT;4;SP;SP;SP;SP;SP;H;H;H;H;H
SPLIT;5;D;D;D;D;D;D;D;D;H;H
SPLIT;6;SP;SP;SP;SP;SP;H;H;H;H;H
SPLIT;7;SP;SP;SP;SP;SP;SP;H;H;H;H
SPLIT;8;SP;SP;SP;SP;SP;SP;SP;SP;SP;SP
SPLIT;9;SP;SP;SP;SP;SP;SP;SP;SP;S;S
SPLIT;10;S;S;S;S;S;S;S;S;S;S
